"","sp","num","n"
"174","Phlegopsis erythroptera",174,43
"175","Phlegopsis nigromaculata",175,78
"176","Pipra fasciicauda",176,530
"177","Pipra filicauda",177,255
"178","Piranga olivacea",178,59
"179","Pitangus sulphuratus",179,100
"180","Pithys albifrons",180,595
"181","Platyrinchus coronatus",181,489
"182","Platyrinchus platyrhynchos",182,21
"183","Platyrinchus saturatus",183,47
"184","Poecilotriccus latirostris",184,19
"185","Poliocrania exsul",185,157
"186","Polyerata amabilis",186,11
"187","Pseudopipra pipra",187,445
"188","Pteroglossus azara",188,79
"189","Pteroglossus torquatus",189,18
"190","Pygiptila stellaris",190,14
"191","Quiscalus mexicanus",191,27
"192","Ramphocaenus melanurus",192,32
"193","Ramphocelus carbo",193,165
"194","Ramphocelus nigrogularis",194,10
"195","Rhegmatorhina melanosticta",195,65
"196","Rhynchocyclus brevirostris",196,17
"197","Rhynchocyclus olivaceus",197,178
"198","Rhytipterna holerythra",198,10
"199","Saltator grossus",199,16
"200","Saltator maximus",200,65
"201","Schiffornis stenorhyncha",201,69
"202","Schiffornis turdina",202,94
"203","Sciaphylax hemimelaena",203,41
"204","Sclerurus caudacutus",204,86
"205","Sclerurus guatemalensis",205,209
"206","Sclerurus obscurior",206,29
"207","Sclerurus rufigularis",207,58
"208","Selenidera reinwardtii",208,43
"209","Sittasomus griseicapillus",209,38
"210","Sporophila angolensis",210,10
"211","Sporophila corvina",211,1593
"212","Sporophila funerea",212,132
"213","Stelgidopteryx ruficollis",213,21
"214","Synallaxis gujanensis",214,40
"215","Synallaxis rutilans",215,17
"216","Tachyphonus delatrii",216,15
"217","Tachyphonus surinamus",217,59
"218","Tangara schrankii",218,67
"219","Taraba major",219,43
"220","Terenotriccus erythrurus",220,375
"221","Thalurania colombica",221,15
"222","Thalurania furcata",222,36
"223","Thamnomanes ardesiacus",223,158
"224","Thamnomanes ardesiascus",224,310
"225","Thamnomanes caesius",225,415
"226","Thamnophilus atrinucha",226,319
"227","Thamnophilus doliatus",227,45
"228","Thamnophilus murinus",228,66
"229","Thamnophilus schistaceus",229,70
"230","Thraupis episcopus",230,175
"231","Thraupis palmarum",231,33
"232","Threnetes leucurus",232,65
"233","Todirostrum cinereum",233,119
"234","Tolmomyias assimilis",234,28
"235","Tolmomyias sulphurescens",235,45
"236","Troglodytes aedon",236,104
"237","Trogon massena",237,14
"238","Trogon rufus",238,70
"239","Tunchiornis ochraceiceps",239,164
"240","Turdus albicollis",240,182
"241","Turdus amaurochalinus",241,19
"242","Turdus grayi",242,408
"243","Turdus hauxwelli",243,83
"244","Turdus ignobilis",244,34
"245","Turdus lawrencii",245,32
"246","Tyrannus melancholicus",246,23
"247","Vireo bairdi",247,11
"248","Vireo flavoviridis",248,22
"249","Willisornis poecilinotus",249,614
"250","Xenops minutus",250,274
"251","Xiphorhynchus elegans",251,16
"252","Xiphorhynchus guttatus",252,106
"253","Xiphorhynchus lachrymosus",253,15
"254","Xiphorhynchus pardalotus",254,130
"255","Xiphorhynchus susurrans",255,90
"256","Xiphorynchus elegans",256,43
"257","Xiphorynchus guttatus",257,41
"258","Xiphorynchus ocellatus",258,96
