"","sp","si","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"28","Attila spadiceus","PARQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,0,5,1,0,0,0,1,3,0,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0
"29","Attila spadiceus","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,4,0,2,1,3,2,3,0,0,1,0,0
"30","Attila spadiceus","TORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,3,7,5,2,0,0,2,0,0,0,0,0,0,0,0
"31","Automolus infuscatus","BDFFP",0,0,0,0,0,0,7,17,31,5,3,0,8,13,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,8,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
"32","Automolus infuscatus","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,12,14,8,5,5,11,14,14,16,9,2,2,2,1,4,4,3,1,0,3,0,1
"33","Automolus infuscatus","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,21,16,19,12,13,12,14,12,13,12,2,1,4,3,4,1,1,2,0,2,2,4
"34","Automolus infuscatus","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Automolus melanopezus","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"36","Automolus melanopezus","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,0,2,0,1,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1
"37","Automolus ochrolaemus","BDFFP",0,0,0,0,0,0,3,2,5,5,2,0,1,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"38","Automolus ochrolaemus","LIMBO",5,8,6,10,8,8,5,6,3,4,5,0,0,0,3,2,4,3,3,1,3,6,1,1,2,2,6,3,2,3,4,7,2,3,4,2,1,4,1,1,3,3,3,0,3,0
